IP:PORT, LOSS, DELAY
162.159.192.23:903,0.00%,162 ms
162.159.192.230:903,0.00%,162 ms
162.159.192.87:942,0.00%,164 ms
188.114.96.208:942,0.00%,164 ms
188.114.96.205:903,0.00%,166 ms
188.114.96.59:942,0.00%,166 ms
188.114.98.119:903,0.00%,166 ms
188.114.97.124:942,0.00%,166 ms
188.114.96.72:942,0.00%,167 ms
188.114.99.160:903,0.00%,168 ms
188.114.99.125:903,0.00%,170 ms
162.159.192.71:903,0.00%,171 ms
162.159.195.98:942,0.00%,176 ms
188.114.99.244:942,0.00%,213 ms
188.114.98.109:903,0.00%,214 ms
188.114.99.121:903,0.00%,217 ms
188.114.99.51:942,0.00%,264 ms
188.114.97.77:903,0.00%,266 ms
188.114.96.252:903,10.00%,297 ms
162.159.204.24:942,100.00%,1000 ms
162.159.195.175:903,100.00%,1000 ms
188.114.96.208:903,100.00%,1000 ms
188.114.99.244:903,100.00%,1000 ms
162.159.195.244:942,100.00%,1000 ms
162.159.193.204:942,100.00%,1000 ms
162.159.204.128:942,100.00%,1000 ms
162.159.195.224:942,100.00%,1000 ms
162.159.204.212:942,100.00%,1000 ms
162.159.192.230:942,100.00%,1000 ms
162.159.204.25:903,100.00%,1000 ms
162.159.192.107:903,100.00%,1000 ms
162.159.204.25:942,100.00%,1000 ms
188.114.98.216:942,100.00%,1000 ms
162.159.195.8:942,100.00%,1000 ms
162.159.192.80:903,100.00%,1000 ms
188.114.97.126:903,100.00%,1000 ms
162.159.192.212:942,100.00%,1000 ms
162.159.204.212:903,100.00%,1000 ms
162.159.195.224:903,100.00%,1000 ms
162.159.193.49:903,100.00%,1000 ms
162.159.195.80:942,100.00%,1000 ms
162.159.193.208:903,100.00%,1000 ms
162.159.195.98:903,100.00%,1000 ms
188.114.98.74:903,100.00%,1000 ms
188.114.96.138:942,100.00%,1000 ms
188.114.97.130:942,100.00%,1000 ms
188.114.98.216:903,100.00%,1000 ms
188.114.97.32:942,100.00%,1000 ms
162.159.204.248:942,100.00%,1000 ms
162.159.195.8:903,100.00%,1000 ms
188.114.96.44:942,100.00%,1000 ms
188.114.98.114:942,100.00%,1000 ms
188.114.96.248:903,100.00%,1000 ms
162.159.192.213:903,100.00%,1000 ms
188.114.98.122:903,100.00%,1000 ms
188.114.97.126:942,100.00%,1000 ms
162.159.195.80:903,100.00%,1000 ms
162.159.192.30:942,100.00%,1000 ms
188.114.98.141:903,100.00%,1000 ms
188.114.96.126:903,100.00%,1000 ms
162.159.193.49:942,100.00%,1000 ms
162.159.192.30:903,100.00%,1000 ms
162.159.193.112:942,100.00%,1000 ms
188.114.98.122:942,100.00%,1000 ms
162.159.192.213:942,100.00%,1000 ms
188.114.96.53:942,100.00%,1000 ms
162.159.193.89:903,100.00%,1000 ms
162.159.193.95:903,100.00%,1000 ms
162.159.195.244:903,100.00%,1000 ms
188.114.97.222:903,100.00%,1000 ms
188.114.98.135:942,100.00%,1000 ms
162.159.195.234:903,100.00%,1000 ms
162.159.192.180:942,100.00%,1000 ms
162.159.193.225:903,100.00%,1000 ms
188.114.97.214:903,100.00%,1000 ms
188.114.96.126:942,100.00%,1000 ms
162.159.192.180:903,100.00%,1000 ms
188.114.98.80:903,100.00%,1000 ms
188.114.96.205:942,100.00%,1000 ms
188.114.98.189:903,100.00%,1000 ms
188.114.97.241:903,100.00%,1000 ms
162.159.204.155:942,100.00%,1000 ms
162.159.193.82:942,100.00%,1000 ms
188.114.98.8:903,100.00%,1000 ms
162.159.192.23:942,100.00%,1000 ms
188.114.98.109:942,100.00%,1000 ms
188.114.99.196:942,100.00%,1000 ms
162.159.193.82:903,100.00%,1000 ms
162.159.193.147:903,100.00%,1000 ms
188.114.98.114:903,100.00%,1000 ms
188.114.98.158:903,100.00%,1000 ms
162.159.193.57:942,100.00%,1000 ms
162.159.204.121:942,100.00%,1000 ms
188.114.98.141:942,100.00%,1000 ms
162.159.204.37:903,100.00%,1000 ms
188.114.99.26:903,100.00%,1000 ms
162.159.204.128:903,100.00%,1000 ms
162.159.193.19:942,100.00%,1000 ms
162.159.195.251:942,100.00%,1000 ms
162.159.195.152:903,100.00%,1000 ms
162.159.193.89:942,100.00%,1000 ms
162.159.195.135:903,100.00%,1000 ms
188.114.98.119:942,100.00%,1000 ms
188.114.97.27:942,100.00%,1000 ms
188.114.98.80:942,100.00%,1000 ms
188.114.99.23:942,100.00%,1000 ms
162.159.204.230:942,100.00%,1000 ms
188.114.96.140:903,100.00%,1000 ms
188.114.96.59:903,100.00%,1000 ms
162.159.192.80:942,100.00%,1000 ms
162.159.193.208:942,100.00%,1000 ms
188.114.96.140:942,100.00%,1000 ms
188.114.96.53:903,100.00%,1000 ms
162.159.195.210:942,100.00%,1000 ms
188.114.97.222:942,100.00%,1000 ms
188.114.97.159:903,100.00%,1000 ms
188.114.96.248:942,100.00%,1000 ms
188.114.98.158:942,100.00%,1000 ms
188.114.97.214:942,100.00%,1000 ms
162.159.193.112:903,100.00%,1000 ms
188.114.99.224:942,100.00%,1000 ms
162.159.193.19:903,100.00%,1000 ms
162.159.192.237:903,100.00%,1000 ms
162.159.195.152:942,100.00%,1000 ms
162.159.193.95:942,100.00%,1000 ms
188.114.98.135:903,100.00%,1000 ms
162.159.204.189:903,100.00%,1000 ms
162.159.193.224:903,100.00%,1000 ms
162.159.204.121:903,100.00%,1000 ms
162.159.193.225:942,100.00%,1000 ms
188.114.99.26:942,100.00%,1000 ms
188.114.97.232:942,100.00%,1000 ms
162.159.193.30:942,100.00%,1000 ms
188.114.97.32:903,100.00%,1000 ms
162.159.193.224:942,100.00%,1000 ms
188.114.97.130:903,100.00%,1000 ms
188.114.97.85:903,100.00%,1000 ms
188.114.99.23:903,100.00%,1000 ms
188.114.99.62:942,100.00%,1000 ms
188.114.97.242:942,100.00%,1000 ms
188.114.96.87:942,100.00%,1000 ms
162.159.192.71:942,100.00%,1000 ms
188.114.97.85:942,100.00%,1000 ms
188.114.97.124:903,100.00%,1000 ms
162.159.195.251:903,100.00%,1000 ms
188.114.99.196:903,100.00%,1000 ms
162.159.204.37:942,100.00%,1000 ms
188.114.98.243:942,100.00%,1000 ms
162.159.193.57:903,100.00%,1000 ms
162.159.204.189:942,100.00%,1000 ms
162.159.192.212:903,100.00%,1000 ms
188.114.99.160:942,100.00%,1000 ms
188.114.96.87:903,100.00%,1000 ms
188.114.96.44:903,100.00%,1000 ms
162.159.204.24:903,100.00%,1000 ms
188.114.97.159:942,100.00%,1000 ms
162.159.193.147:942,100.00%,1000 ms
188.114.96.17:903,100.00%,1000 ms
188.114.97.241:942,100.00%,1000 ms
162.159.195.234:942,100.00%,1000 ms
188.114.98.189:942,100.00%,1000 ms
188.114.99.224:903,100.00%,1000 ms
188.114.96.138:903,100.00%,1000 ms
162.159.193.30:903,100.00%,1000 ms
162.159.192.33:903,100.00%,1000 ms
162.159.204.155:903,100.00%,1000 ms
188.114.99.191:903,100.00%,1000 ms
162.159.195.210:903,100.00%,1000 ms
188.114.96.252:942,100.00%,1000 ms
188.114.97.232:903,100.00%,1000 ms
162.159.192.87:903,100.00%,1000 ms
188.114.96.17:942,100.00%,1000 ms
188.114.99.11:942,100.00%,1000 ms
188.114.98.74:942,100.00%,1000 ms
188.114.99.62:903,100.00%,1000 ms
162.159.195.175:942,100.00%,1000 ms
162.159.204.230:903,100.00%,1000 ms
188.114.98.243:903,100.00%,1000 ms
188.114.99.51:903,100.00%,1000 ms
162.159.193.204:903,100.00%,1000 ms
162.159.204.48:942,100.00%,1000 ms
162.159.195.135:942,100.00%,1000 ms
188.114.99.159:942,100.00%,1000 ms
188.114.99.125:942,100.00%,1000 ms
162.159.204.48:903,100.00%,1000 ms
188.114.96.72:903,100.00%,1000 ms
188.114.97.242:903,100.00%,1000 ms
188.114.99.121:942,100.00%,1000 ms
162.159.192.107:942,100.00%,1000 ms
162.159.204.248:903,100.00%,1000 ms
162.159.192.237:942,100.00%,1000 ms
162.159.195.51:942,100.00%,1000 ms
162.159.195.51:903,100.00%,1000 ms
188.114.97.27:903,100.00%,1000 ms
188.114.99.11:903,100.00%,1000 ms
188.114.99.159:903,100.00%,1000 ms
162.159.192.33:942,100.00%,1000 ms
188.114.99.191:942,100.00%,1000 ms
188.114.98.8:942,100.00%,1000 ms
188.114.97.77:942,100.00%,1000 ms
